Title,Date,Summary
Driving Military Truck After Drinking Very Serious Misconduct: Supreme Court,"Press Trust of India   | Tuesday January 25, 2022, New Delhi",Supreme Court said that driving under the influence of alcohol a truck carrying the Provincial Armed Constabulary (PAC) personnel is a very serious misconduct and such indiscipline cannot be tolerated and that too in the disciplined Military.
Supreme Court Voices Concern Over Degradation In Quality Of Legal Education,"Press Trust of India   | Tuesday January 25, 2022, New Delhi",The Supreme Court on Tuesday voiced concern over degradation in the quality of legal education in the country and said that improvements are needed in the system at the entry-level.
"""I'm Very Much A BJP Worker,"" Says Daughter Of SP Maurya Who Quit Team Yogi","Press Trust of India   | Tuesday January 25, 2022, Budaun","BJP MP from Uttar Pradesh's Budaun Sanghamitra Maurya, whose father and UP minister Swami Prasad Maurya recently defected to the Samajwadi Party, asserted that she is very much a BJP worker and expressed her loyalty to Prime Minister Narendra Modi."
Drones Developed By IIT Guwahati Start-Up Lab To Perform At Republic Day In Assam,"Written by Ratnadip Choudhury  | Tuesday January 25, 2022, Guwahati","The Indian Institute of Technology (IIT) Guwahati's drone start-up, Drones Tech Lab, will perform a drone show at this years Republic Day event to be held in Assam's Kamrup. The show will be a first of its kind in the north-east region."
BJP Holds Meeting Under Devendra Fadnavis To Discuss Mumbai Civic Poll Plans,"Press Trust of India   | Tuesday January 25, 2022, Mumbai",The BJP held a meeting on Tuesday to chalk out plans for the Brihanmumbai Municipal Corporation polls expected to take place in a few months time.
4 Injured In Srinagar Grenade Blast Ahead Of Republic Day Celebration,"Press Trust of India   | Tuesday January 25, 2022, Srinagar","A day ahead of Republic Day celebrations, terrorists on Tuesday threw a grenade, targetting security personnel in Srinagar and resulting in injuries to four persons including a police officer and two women, officials said."
"Extended FCRA Registration Of 11,594 NGOs Which Applied Within Cut-Off Date: Centre To Supreme Court","Press Trust of India   | Tuesday January 25, 2022, New Delhi","The Centre today told the Supreme Court that Foreign Contribution Regulation Act (FCRA) registrations of 11,594 NGOs, which applied within the cut-off date, have already been extended."
Here Is Why President Unfurls National Flag On Republic Day,"Edited by NDTV Newsdesk  | Tuesday January 25, 2022, New Delhi","The President of India, the first citizen of the country, unfurls the tricolour on the morning of January 26"
"Opposition Parties Do Nothing When In Power, Now Gearing Up For Elections: Yogi Adityanath","Asian News International   | Tuesday January 25, 2022, New Delhi","Uttar Pradesh Chief Minister Yogi Adityanath on Tuesday slammed the Opposition saying when they are in power, they do nothing but now they are getting ready for assembly elections."
"Akali Dal-Bahujan Samaj Party Alliance Will Sweep Punjab, Claims Sukhbir Singh Badal","Press Trust of India   | Tuesday January 25, 2022, Chandigarh","Congress will be routed in next month's Punjab Assembly polls while his party's alliance will sweep the polls, winning over 80 seats, Shiromani Akali Dal President Sukhbir Singh Badal claimed today. The AAP will win less than 10 seats, he said."
"Cowards Can't Fight Our Battles, Says Congress On RPN Singh's Resignation","Asian News International   | Tuesday January 25, 2022, New Delhi","Congress on Tuesday unleashed a veiled attack on RPN Singh over his resignation by saying that the battle Congress is fighting only can be fought with bravery, coward people can't fight it."
Bhagwant Mann Ridicules Navjot Sidhu For Questioning AAP's Survey,"Press Trust of India   | Tuesday January 25, 2022, Chandigarh",AAP leader Bhagwant Mann on Tuesday ridiculed Navjot Singh Sidhu for questioning the survey for selecting the CM face and asked him not to interfere in the internal affairs of the Aam Aadmi Party.
Anand Mahindra's Message After Farmer's Humiliation At SUV Showroom,"Edited by Divyanshu Dutta Roy  | Tuesday January 25, 2022, New Delhi","Industrialist Anand Mahindra on Tuesday underscored the importance of upholding the dignity of an individual, in his first public comment after a farmer in Karnataka was allegedly humiliated by the sales staff at a Mahindra and Mahindra SUV showroom."
"Aparna Yadav, Akhilesh Yadav's Sister-In-Law, Tells NDTV Why She Joined BJP","Reported by Saurabh Shukla, Edited by Anindita Sanyal  | Tuesday January 25, 2022",Aparna Yadav -- the daughter-in-law of Uttar Pradesh's political first family who served up a huge surprise by joining the BJP -- told NDTV today denied the buzz that her reason for switch was denial of a Samajwadi party ticket.
"""Cowards Can't Fight..."": Congress After Senior Leader RPN Singh's Exit","Reported by Alok Pandey, Edited by Deepshikha Ghosh  | Tuesday January 25, 2022, New Delhi","Soon after RPN Singh quit the Congress and joined the BJP, the Congress conveyed its sharp message in what it said were Priyanka Gandhi Vadra's words."
"Congress Not What It Used To Be, Says RPN Singh After Joining BJP","Edited by Divyanshu Dutta Roy  | Tuesday January 25, 2022, New Delhi","Senior Congress leader RPN Singh who joined the BJP on Tuesday, weeks ahead of next month's key state polls, was succinct in the critique of his former party."
"Rallies Banned Over Covid, BJP, Congress Campaign Online In Uttarakhand","Press Trust of India   | Tuesday January 25, 2022, Dehradun",Uttarakhand Election: The BJP and the Congress in Uttarakhand are making the most of social media to reach out to voters with less than a month to go before the state elections on February 14 amid Covid curbs.
RPN Singh's Congress-To-BJP Switch: 5 Points On Big Move Before UP Polls,"NDTV News Desk   | Tuesday January 25, 2022, New Delhi","Former Union Minister RPN Singh quit the Congress today and joined the BJP, becoming the most prominent Uttar Pradesh leader to do so just before elections in the state.

So why is his exit a big loss for the Congress and a gain for the BJP?"
Blockchain Assumes Limelight As PM Modi Takes To New Tech To Award Children,"Press Trust of India   | Tuesday January 25, 2022, Lucknow","For the 61 winners of the Pradhan Mantri Rashtriya Bal Puraskar (PMRBP) 2021 and 2022, the award was special in ways more than one, as they got digital certificates that use blockchain-driven technology developed by IIT Kanpur."
"Republic Day 2022 Tableux List: 21 States, UTs and Ministries To Participate","Edited by NDTV Newsdesk  | Tuesday January 25, 2022, New Delhi","This year, the Republic Day parade will have 21 tableaux  12 belonging to states and Union Territories, and 9 from various ministries."
"Watch: Charanjit Channi Is 'Thor', Rahul Gandhi Is 'Hulk' In New Campaign","Edited by Ridhima Shukla  | Tuesday January 25, 2022, New Delhi","This time, the Congress has chosen to portray Chief Minister Charanjit Singh Channi as superhero Thor, a character based on the Marvel Comics."
"No Freedom To Vote Fairly In Bengal, Alleges Governor Jagdeep Dhankhar","Asian News International   | Tuesday January 25, 2022, Kolkata","Democracy is in deep peril in Bengal, Governor Jagdeep Dhankhar claimed, adding that governance is much away from constitutional norms."
Madhya Pradesh To File Case Against Amazon Over Indian Flag Products,"Press Trust of India   | Tuesday January 25, 2022, Bhopal","Amid a row, Madhya Pradesh government has directed police to register FIR against officials of e-commerce giant Amazon and its owner for allegedly selling products, with the image of the Indian national flag, Home Minister Narottam Mishra said."
"On Foreign Funding Clearance For 6,000 NGOs, Setback In Supreme Court","Reported by Sukirti Dwivedi, Edited by Akhil Kumar  | Tuesday January 25, 2022, New Delhi","The Supreme Court today refused to grant interim relief on a plea challenging the government's refusal to renew licenses needed to receive funding from abroad to 6,000 Non-Governmental Organisations, or NGOs."
5G Lawsuit: High Court Proposes To Reduce Penalty On Juhi Chawla From Rs 20 Lakh To Rs 2 Lakh,"Press Trust of India   | Tuesday January 25, 2022, New Delhi",Delhi High Court today proposed to reduce from Rs 20 lakh to Rs 2 lakh the costs imposed on actor Juhi Chawla and two others by a single judge while dismissing her plea against 5G roll-out.
India Announces $2 Lakh Immediate Relief Assistance To Tonga After Tsunami,"Asian News International   | Tuesday January 25, 2022, New Delhi","The Government of India extends immediate relief assistance of USD 200,000 to support relief, rehabilitation, and reconstruction efforts in the Kingdom of Tonga in the wake of Tsunami, the Ministry of External Affairs (MEA) informed on Tuesday."
"Ready To Contest Against Adityanath In Gorakhpur, Says UP Doctor Kafeel Khan","Press Trust of India   | Tuesday January 25, 2022, Lucknow","Paediatrician Dr Kafeel Khan, whose name surfaced in the 2017 BRD Medical college tragedy in which several children died allegedly for lack of oxygen, said that he may contest against Uttar Pradesh Chief Minister Yogi Adityanath from Gorakhpur."
Madhya Pradesh To Release 215 Prisoners Serving Life Term On Republic Day,"Press Trust of India   | Tuesday January 25, 2022, Bhopal","The Madhya Pradesh government will release 215 prisoners, serving life sentences in various jails across the state, on Republic Day, Minister for Home and Jail Narottam Mishra said on Tuesday."
"In New Dig At BJP, Sanjay Raut Says Sena First To Fight Poll On Hindutva","Edited by NDTV News Desk  | Tuesday January 25, 2022, New Delhi","Stepping up his attack on the BJP, Shiv Sena MP Sanjay Raut today said the Sena was the first party in the country to contest an election on ""Hindutva"" plank and that it was after its win that the BJP approached Bal Thackeray for an alliance."
"US Man, Arrested For Smuggling 2 Indians, Released From Jail: Report","Press Trust of India   | Tuesday January 25, 2022, New York","A US man, charged with human smuggling, has been released from prison conditionally and without paying a bond, days after he was found illegally transporting two Indians in America and four other Indian nationals were found frozen to death in Canada."
"PM Modi Calls For Higher Polling, Discussion On 'One Nation, One Election'","Press Trust of India   | Tuesday January 25, 2022, New Delhi","Prime Minister Narendra Modi on Tuesday expressed concern over low voting percentage, especially in urban areas considered educated and prosperous, and said this should change in a vibrant democracy like India."
BJP's Suvendu Adhikari Concerned After Bengal District Magistrates Skip PM Meet,"Asian News International   | Tuesday January 25, 2022, New Delhi",BJP leader Suvendu Adhikari on Tuesday said that he has written to Prime Minister Narendra Modi and expressed concern over the non-participation of District Magistrates from West Bengal in the virtual meeting chaired by the Prime Minister on January
"Veteran Congress Leader, Former MP Anand Gautam Resigns Ahead Of UP Polls","Press Trust of India   | Tuesday January 25, 2022, Barabanki","Veteran Congress leader from Uttar Pradesh and former MP Anand Prakash Gautam, alleging neglect of workers, has resigned today in a setback to the party ahead of the state polls. His resignation comes amid the high-profile exit of RPN Singh today."
"Punjab Elections: Congress Candidates Well-Educated, But Several From Political Families","Press Trust of India   | Tuesday January 25, 2022, Chandigarh","A software engineer, a teacher-turned-politician and some candidates with degrees from prestigious universities - first-timers contesting on Congress party tickets in Punjab - are well-educated, but several of them come from political families."
20 Indian Fishermen Returns Home After 4 Years In Pakistan Jail,"Asian News International   | Tuesday January 25, 2022, Islamabad","20 Indian fishermen were released by Pakistan and repatriated via the Wagah Border on Monday, a statement issued by Pakistan's foreign ministry said today."
"Brown Sugar Worth Rs 3 Crore, Along With 3 Revolvers, Seized In Odisha","Press Trust of India   | Tuesday January 25, 2022, Bhubaneswar","The Special Task Force (STF) of Odisha Police has seized brown sugar worth over Rs 3 crore, Rs 65 lakh in cash and three revolvers from a rented house in Nayagarh district, a senior officer said."
"Bengal Governor Slams Speaker For ""Violating Constitutional Norms""","Press Trust of India   | Tuesday January 25, 2022, Kolkata","West Bengal Governor Jagdeep Dhankhar on Tuesday came down heavily on Assembly Speaker Biman Banerjee, accusing him of transgressing constitutional norms and not providing information sought by him."
"""Freebie Budget Going Beyond Regular Budget"": Supreme Court Airs Concern","Reported by Sukirti Dwivedi, Edited by Akhil Kumar  | Tuesday January 25, 2022, New Delhi","Calling it a ""serious issue"", the court said that the ""freebie budget"" is going beyond the regular budget. It has sought a response from the poll body and the union government in four weeks."
Watch: Air Force Officers Gear Up For Grand Flypast On Republic Day,"Edited by NDTV Newsdesk  | Tuesday January 25, 2022",Preparations of the Indian Air Force are in full swing for the Republic Day celebrations
Court Adjourns Hearing On Rakesh Asthana's Appointment As Delhi Police Chief,"Asian News International   | Tuesday January 25, 2022, New Delhi","The Supreme Court on Tuesday adjourned till February 9, the hearing of a plea challenging the appointment of Indian Police Service (IPS) officer Rakesh Asthana as Delhi Police Commissioner."
"""Politics Of Hate Intruding Punjab"": Navjot Sidhu On ""Sacrilege"" At Temple","Press Trust of India   | Tuesday January 25, 2022, Chandigarh","Punjab Congress chief Navjot Singh Sidhu on Tuesday condemned the alleged sacrilege bid at the historic Kali Devi temple in Patiala district, calling it deplorable, and said politics of hate was intruding Punjab."
Another Senior Congress Exit: RPN Singh Joins BJP Ahead Of UP Election,"Reported by Alok Pandey | Tuesday January 25, 2022, New Delhi, Lucknow","RPN Singh, one of the Congress's most prominent leaders in Uttar Pradesh, quit the party today and crossed over to the BJP ahead of next month's election in the state."
Delhi Police Opposes Bail Plea Of Bulli Bai App Creator,"Asian News International   | Tuesday January 25, 2022, New Delhi","The Delhi Police on Tuesday opposed the bail plea of Niraj Bishnoi, alleged creator of the Bulli Bai app, in the Patiala House Court saying that the investigation is at a ""very nascent"" stage."
"9 Arrested In Hyderabad For Attempting To ""Sell"" Minor Girl For Marriage: Report","Press Trust of India   | Tuesday January 25, 2022, Hyderabad","A 14-year-old girl, who was allegedly being trafficked for marriage with an elderly man from Mumbai for Rs 3 lakh, was rescued in Hyderabad and nine people, including the girl's mother were arrested in this connection, police said."
"PM Modi Lauds Poll Body, India's Electoral Process At BJP's Workers Meet","Asian News International   | Tuesday January 25, 2022, New Delhi",Prime Minister Narendra Modi on Tuesday while interacting with members of the Bharatiya Janata Party lauded Election Commission and said that India's electoral process has set a benchmark for various counties.
Republic Day: Delhi Police Issues Traffic Advisory for Republic Day 2022. Details Inside,"Edited by NDTV Newsdesk  | Tuesday January 25, 2022, New Delhi",The Republic Day parade will start at 10.20 am and move from Vijay Chowk towards Red Fort Grounds
Shiv Sena's Sanjay Raut Deletes Tweet After BJP MP Calls It 'Unmanly',"NDTV Newsdesk   | Tuesday January 25, 2022, Mumbai","Shiv Sena MP Sanjay Raut deleted a tweet this morning after BJP MP Poonam Mahajan's acrid response to it, in the middle of bitter sparring between their parties."
"66-Year-Old Karnataka Man Sets Record For Swimming With Tied Hands, Legs","Press Trust of India   | Tuesday January 25, 2022, Mangaluru","Swimming 3.5 km in the Arabian sea for five hours and 35 minutes with his hands and legs chained, a 66-year-old man from Udupi has entered the Golden Book of World Records."
15 Wagons Of Goods Train Derails In Rajasthan's Jaisalmer: Report,"Press Trust of India   | Tuesday January 25, 2022, Jaipur","Fifteen wagons of a goods train loaded with limestone derailed in Rajasthan's Jaisalmer district today, disrupting train traffic on the route, a railway spokesperson said."
"Supreme Court Hears Plea To Ban Political Parties Promising ""Irrational Freebies"" Ahead Of Polls","Press Trust of India   | Tuesday January 25, 2022, New Delhi","Supreme Court sought responses from the Centre and the Election Commission on a plea seeking a direction to seize the election symbol or de-register a political party that promises ""irrational freebies"" from public funds before elections."
"Assembly Elections 2022 Highlights: Congress Leader RPN Singh Quits Party, Joins BJP","NDTV News Desk   | Tuesday January 25, 2022, New Delhi","RPN Singh, one of the Congress's most prominent leaders in Uttar Pradesh, has quit the party and is set to join the BJP ahead of next month's election in the state."
